"Product's Name","Title of Page","URL"
"Gel para Sobrancelha Selfie Natural Impala","Gel para Sobrancelha Selfie Natural Impala - Época Cosméticos","https://www.epocacosmeticos.com.br/gel-para-sobrancelha-selfie-natural-impala/p"
"Creme Dental Crest - Complete Dualblast Mint - 164g","Creme Dental Crest - Complete Dualblast Mint - Época Cosméticos","https://www.epocacosmeticos.com.br/creme-dental-crest-complete-dualblast-mint/p"
"Kit Revitalift Blur L'Oréal Paris + The Colossal Volum' Express Maybelline","Kit Revitalift Blur + The Colossal Volum'Express - Época Cosméticos","https://www.epocacosmeticos.com.br/kit1-revitalift-blur-loreal-paris-the-colossal-volum-express-maybelline/p"
"Demaquilante Anna Pegova - 4 em 1 - 200ml","Demaquilante Anna Pegova - 4 em 1 - Época Cosméticos","https://www.epocacosmeticos.com.br/demaquilante-anna-pegova-4-em-1/p"
"Sebastian Shine Define - Finalizador - 200ml","Finalizador Sebastian Shine Define - Época Cosméticos","https://www.epocacosmeticos.com.br/shine-define-sebastian-finalizador/p"
"Pacha Ibiza 24/7 Him Perfume Masculino - Eau de Toilette - 100ml","Perfume Pacha Ibiza 24/7 Him Masculino EDT - Época Cosméticos","https://www.epocacosmeticos.com.br/pacha-ibiza-24-7-him-perfume-masculino-eau-de-toilete/p"
"White Gardenia Monotheme - Perfume Feminino Eau de Toilette - 100ml","Perfume White Gardenia Monotheme Feminino EDT - Época Cosméticos","https://www.epocacosmeticos.com.br/white-gardenia-monotheme-perfume-feminino-eau-de-toilette/p"
"Anthelios XL FPS 30La Roche-Posay- Protetor Solar Fluído - 200ml","Anthelios XL FPS 30 La Roche Posay - Protetor Solar Fuido - Época Cosméticos","https://www.epocacosmeticos.com.br/anthelios-xl-fps-30-la-roche-posay-protetor-solar-fluido/p"
"Protetor Solar L'Oréal Paris Solar Expertise Loção Protetora Infantil SPF 60 - 120ml","L'Oréal Paris Solar Expertise Protetor Infantil SPF 60 - Época Cosméticos","https://www.epocacosmeticos.com.br/solar-expertise-locao-protetora-infantil-spf-60-l-oreal-paris-protetor-solar/p"
"The Falsies Efeito Cílios Postiços Super Filme Maybelline - Máscara para Cílios - Preto","The Falsies Cílios Postiços Maybelline - Época Cosméticos","https://www.epocacosmeticos.com.br/the-falsies-efeito-cilios-posticos-super-filme-maybelline-mascara-para-cilios/p"
